quot_ep_id;party_id;quot_ep_startdate;quot_ep_enddate;quota_bin;quota_percentage;quota_zipper;quota_soft;quota_execution
NL_50+_NT__1;NL_50+_NT;13sep2012;31dec2100;0;NA;NA;NA;NA
NL_AOV_NT__1;NL_AOV_NT;04may1994;31dec2100;0;NA;NA;NA;NA
NL_ARP_NT__1;NL_ARP_NT;01jan1879;11oct1980;0;NA;NA;NA;NA
NL_Bp_NT__1;NL_Bp_NT;16may1963;25may1981;0;NA;NA;NA;NA
NL_CD_NT__1;NL_CD_NT;07sep1989;05may1998;0;NA;NA;NA;NA
NL_CDA_NT__1;NL_CDA_NT;26may1977;31dec2004;0;NA;NA;NA;NA
NL_CDA_NT__2;NL_CDA_NT;01jan2005;31dec2100;1;50;0;1;1
NL_CHU_NT__1;NL_CHU_NT;18may1946;11oct1980;0;NA;NA;NA;NA
NL_CPN_NT__1;NL_CPN_NT;01jan1909;31dec1981;0;NA;NA;NA;NA
NL_CPN_NT__2;NL_CPN_NT;01jan1982;20may1986;1;50;0;0;1
NL_CU_NT__1;NL_CU_NT;16may2002;31dec2003;0;NA;NA;NA;NA
NL_CU_NT__2;NL_CU_NT;01jan2004;31dec2100;1;25;0;1;1
NL_D66_NT__1;NL_D66_NT;16feb1967;31dec2100;0;NA;NA;NA;NA
NL_DS70_NT__1;NL_DS70_NT;29apr1971;25may1981;0;NA;NA;NA;NA
NL_EVP_NT__1;NL_EVP_NT;27may1981;20may1986;0;NA;NA;NA;NA
NL_FvD_NT__1;NL_FvD_NT;15mar2017;31dec2100;0;NA;NA;NA;NA
NL_GL_NT__1;NL_GL_NT;01jan1989;31dec1990;0;NA;NA;NA;NA
NL_GL_NT__2;NL_GL_NT;01jan1991;31dec2100;1;50;0;0;1
NL_GPV_NT__1;NL_GPV_NT;01jan1948;31dec2003;0;NA;NA;NA;NA
NL_KVP_NT__1;NL_KVP_NT;18may1946;11oct1980;0;NA;NA;NA;NA
NL_LPF_NT__1;NL_LPF_NT;16may2002;21nov2006;0;NA;NA;NA;NA
NL_PPR_NT__1;NL_PPR_NT;27apr1968 ;31dec1987;0;NA;NA;NA;NA
NL_PPR_NT__2;NL_PPR_NT;01jan1988;23nov1990;1;50;0;1;1
NL_PSP_NT__1;NL_PSP_NT;01jan1957;23nov1990;0;NA;NA;NA;NA
NL_PvdA_NT__1;NL_PvdA_NT;09feb1946;31dec1976;0;NA;NA;NA;NA
NL_PvdA_NT__2;NL_PvdA_NT;01jan1977;31dec1985;1;25;0;1;1
NL_PvdA_NT__3;NL_PvdA_NT;01jan1986;31dec2100;1;50;1;0;1
NL_PvdD_NT__1;NL_PvdD_NT;01jan2002;31dec2100;0;NA;NA;NA;NA
NL_PVV_NT__1;NL_PVV_NT;22feb2006;31dec2100;0;NA;NA;NA;NA
NL_RPF_NT__1;NL_RPF_NT;01jan1975;31dec1999;0;NA;NA;NA;NA
NL_SGP_NT__1;NL_SGP_NT;21apr1918;31dec2100;0;NA;NA;NA;NA
NL_SP_NT__1;NL_SP_NT;01jan1971;31dec2100;0;NA;NA;NA;NA
NL_VVD_NT__1;NL_VVD_NT;24jan1948;31dec2100;0;NA;NA;NA;NA
DE_B90|Gru_NT__1;DE_B90|Gru_NT;04nov1980;31dec1986;1;50;0;1;0
DE_B90|Gru_NT__2;DE_B90|Gru_NT;31dec1986;31dec2100;1;50;1;0;1
DE_SPD_NT__1;DE_SPD_NT;07sep1949;30aug1988;0;NA;NA;NA;NA
DE_SPD_NT__2;DE_SPD_NT;30aug1988;01jan1994;1;25;0;0;1
DE_SPD_NT__3;DE_SPD_NT;01jan1994;01jan1998;1;33;0;0;1
DE_SPD_NT__4;DE_SPD_NT;01jan1998;06dec2011;1;40;1;0;1
DE_SPD_NT__5;DE_SPD_NT;06dec2011;31dec2100;1;50;1;0;1
DE_Li|PDS_NT__1;DE_Li|PDS_NT;20dec1990;31dec2100;1;50;1;0;1
DE_CDU_NT__1;DE_CDU_NT;07sep1949;31dec1994;0;NA;NA;NA;NA
DE_CDU_NT__2;DE_CDU_NT;31dec1994;31dec2100;1;33;0;1;1
DE_CSU_NT__1;DE_CSU_NT;07sep1949;31dec2100;0;NA;NA;NA;NA
DE_FDP_NT__1;DE_FDP_NT;07sep1949;31dec2100;0;NA;NA;NA;NA
DE_AfD_NT__1;DE_AfD_NT;22oct2013;31dec2100;0;NA;NA;NA;NA
NL_UNIE55_NT__1;NL_UNIE55_NT;01jan1991;31dec1997;0;NA;NA;NA;NA
NL_CP_NT__1;NL_CP_NT;01jan1980;31dec1998;0;NA;NA;NA;NA
NL_RKPN_NT__1;NL_RKPN_NT;01jan1972;31dec1985;0;NA;NA;NA;NA
NL_LN_NT__1;NL_LN_NT;21mar1999;31dec2007;0;NA;NA;NA;NA
NL_DENK_NT__1;NL_DENK_NT;09feb2015;31dec2100;0;NA;NA;NA;NA
DE_BP_NT__1;DE_BP_NT;07sep1949;05oct1953;0;0;NA;NA;NA
DE_DRP_NT__1;DE_DRP_NT;07sep1949;05oct1953;0;0;NA;NA;NA
DE_DZ_NT__1;DE_DZ_NT;07sep1949;14oct1957;0;0;NA;NA;NA
DE_KPD_NT__1;DE_KPD_NT;07sep1949;05oct1953;0;0;NA;NA;NA
DE_WAV_NT__1;DE_WAV_NT;07sep1949;05oct1953;0;0;NA;NA;NA
DE_DP_NT__1;DE_DP_NT;07sep1949;17oct1961;0;0;NA;NA;NA
DE_BHE_NT__1;DE_BHE_NT;06oct1953;15oct1956;0;0;NA;NA;NA
NL_NMP_NT_1;NL_NMP_NT;01sep1970;31dec1998;0;0;NA;NA;NA
